Statistical profiling result from isolate-0x24ccd10-v8.log, (11708 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  LazyCompile: *module.exports.processFeatures /home/phillipdaw/code/gpxAQI/server/lib/polygonFun.js:27:18
      2    0.0%    0.0%  LazyCompile: *join native array.js:333:19
      2    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot {1}
      2    0.0%    0.0%  Handler: oncomplete {1}
      2    0.0%    0.0%  Handler: An IC handler from the snapshot
      1    0.0%    0.0%  Stub: ToBooleanStub(Undefined,SpecObject)
      1    0.0%    0.0%  Stub: ToBooleanStub(String)
      1    0.0%    0.0%  Stub: ToBooleanStub(Bool,Null)
      1    0.0%    0.0%  Stub: ToBooleanStub
      1    0.0%    0.0%  Stub: SubStringStub
      1    0.0%    0.0%  Stub: StringAddStub_CheckNone_NotTenured
      1    0.0%    0.0%  Stub: StoreTransitionStub {3}
      1    0.0%    0.0%  Stub: StoreTransitionStub {2}
      1    0.0%    0.0%  Stub: StoreTransitionStub {1}
      1    0.0%    0.0%  Stub: StoreTransitionStub
      1    0.0%    0.0%  Stub: StoreFastElementStub
      1    0.0%    0.0%  Stub: StoreBufferOverflowStub
      1    0.0%    0.0%  Stub: RecordWriteStub {3}
      1    0.0%    0.0%  Stub: RecordWriteStub {2}
      1    0.0%    0.0%  Stub: RecordWriteStub
      1    0.0%    0.0%  Stub: LoadICStub
      1    0.0%    0.0%  Stub: LoadFieldStub {2}
      1    0.0%    0.0%  Stub: LoadFieldStub
      1    0.0%    0.0%  Stub: LoadFastElementStub {1}
      1    0.0%    0.0%  Stub: LoadFastElementStub
      1    0.0%    0.0%  Stub: LoadConstantStub {1}
      1    0.0%    0.0%  Stub: LoadConstantStub
      1    0.0%    0.0%  Stub: InstanceofStub
      1    0.0%    0.0%  Stub: GrowArrayElementsStub {2}
      1    0.0%    0.0%  Stub: FastNewContextStub
      1    0.0%    0.0%  Stub: CompareICStub {1}
      1    0.0%    0.0%  Stub: CallICStub(args(7), FUNCTION, 
      1    0.0%    0.0%  Stub: CallFunctionStub
      1    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String)
      1    0.0%    0.0%  Stub: BinaryOpICStub {1}
      1    0.0%    0.0%  LazyCompile: ~writeUtf8 /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:567:19
      1    0.0%    0.0%  LazyCompile: ~toLowerCase native string.js:533:29
      1    0.0%    0.0%  LazyCompile: ~subarray native typedarray.js:165:28
      1    0.0%    0.0%  LazyCompile: ~storeHeader _http_outgoing.js:301:21
      1    0.0%    0.0%  LazyCompile: ~spliceOne events.js:423:19
      1    0.0%    0.0%  LazyCompile: ~setWriteHeadHeaders /home/phillipdaw/code/gpxAQI/server/node_modules/on-headers/index.js:59:29
      1    0.0%    0.0%  LazyCompile: ~serverSocketCloseListener _http_server.js:286:37
      1    0.0%    0.0%  LazyCompile: ~serveStatic /home/phillipdaw/code/gpxAQI/server/node_modules/serve-static/index.js:72:31
      1    0.0%    0.0%  LazyCompile: ~send /home/phillipdaw/code/gpxAQI/server/node_modules/express/lib/response.js:107:25
      1    0.0%    0.0%  LazyCompile: ~resume_ _stream_readable.js:715:17
      1    0.0%    0.0%  LazyCompile: ~replace native string.js:146:23
      1    0.0%    0.0%  LazyCompile: ~parserOnHeadersComplete _http_common.js:42:33
      1    0.0%    0.0%  LazyCompile: ~onstat /home/phillipdaw/code/gpxAQI/server/node_modules/send/index.js:722:33
      1    0.0%    0.0%  LazyCompile: ~onResponseHeaders /home/phillipdaw/code/gpxAQI/server/node_modules/compression/index.js:140:47
      1    0.0%    0.0%  LazyCompile: ~module.exports.processFeatures /home/phillipdaw/code/gpxAQI/server/lib/polygonFun.js:27:18
      1    0.0%    0.0%  LazyCompile: ~module.exports /home/phillipdaw/code/gpxAQI/server/node_modules/simplify-geojson/index.js:3:27
      1    0.0%    0.0%  LazyCompile: ~fastparse /home/phillipdaw/code/gpxAQI/server/node_modules/parseurl/index.js:95:20
      1    0.0%    0.0%  LazyCompile: ~exports.inherits util.js:745:28
      1    0.0%    0.0%  LazyCompile: ~exports.enroll timers.js:150:26
      1    0.0%    0.0%  LazyCompile: ~exports._unrefActive timers.js:599:32
      1    0.0%    0.0%  LazyCompile: ~error /home/phillipdaw/code/gpxAQI/server/node_modules/serve-static/index.js:115:39
      1    0.0%    0.0%  LazyCompile: ~encode /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:18:16
      1    0.0%    0.0%  LazyCompile: ~emit events.js:117:44
      1    0.0%    0.0%  LazyCompile: ~createError /home/phillipdaw/code/gpxAQI/server/node_modules/http-errors/index.js:47:22
      1    0.0%    0.0%  LazyCompile: ~compression /home/phillipdaw/code/gpxAQI/server/node_modules/compression/index.js:59:31
      1    0.0%    0.0%  LazyCompile: ~StringSplitOnRegExp native string.js:437:29
      1    0.0%    0.0%  LazyCompile: ~Socket._writeGeneric net.js:622:42
      1    0.0%    0.0%  LazyCompile: ~ServerResponse.writeHead _http_server.js:160:46
      1    0.0%    0.0%  LazyCompile: ~RegExpExecNoTests native regexp.js:59:27
      1    0.0%    0.0%  LazyCompile: ~Readable _stream_readable.js:80:18
      1    0.0%    0.0%  LazyCompile: ~OutgoingMessage._send _http_outgoing.js:120:43
