Statistical profiling result from isolate-0x1fd2d10-v8.log, (17037 ticks, 3 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
      3    0.0%

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  Stub: BinaryOpICStub(MUL:Generic*Smi->Number)
      2    0.0%    0.0%  Stub: ArgumentsAccessStub
      2    0.0%    0.0%  LazyCompile: ~substring native string.js:483:25
      2    0.0%    0.0%  LazyCompile: ~pipe /home/phillipdaw/code/gpxAQI/server/node_modules/send/index.js:510:43
      2    0.0%    0.0%  LazyCompile: ~makeRoomForExtraLength /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:457:32
      2    0.0%    0.0%  LazyCompile: ~indexOf native string.js:76:25
      2    0.0%    0.0%  LazyCompile: ~encode /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:18:16
      2    0.0%    0.0%  LazyCompile: ~applyHeaders /home/phillipdaw/code/gpxAQI/server/node_modules/cors/lib/index.js:144:24
      2    0.0%    0.0%  LazyCompile: Join native array.js:102:14
      2    0.0%    0.0%  LazyCompile: EQUALS native runtime.js:75:23
      2    0.0%    0.0%  LazyCompile: *writeGeometry /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:110:23
      2    0.0%    0.0%  LazyCompile: *slicer.sliceFeature /home/phillipdaw/code/gpxAQI/server/node_modules/geojson-slicer/index.js:87:35
      2    0.0%    0.0%  LazyCompile: *Pbf.writeStringField /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:366:31
      2    0.0%    0.0%  LazyCompile: *NonNumberToNumber native runtime.js:553:27
      2    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot
      2    0.0%    0.0%  Handler: An IC handler from the snapshot {9}
      2    0.0%    0.0%  Handler: An IC handler from the snapshot {7}
      2    0.0%    0.0%  Handler: An IC handler from the snapshot {5}
      1    0.0%    0.0%  Stub: ToBooleanStub(String)
      1    0.0%    0.0%  Stub: ToBooleanStub(Smi)
      1    0.0%    0.0%  Stub: ToBooleanStub(Null)
      1    0.0%    0.0%  Stub: SubStringStub
      1    0.0%    0.0%  Stub: StubFailureTrampolineStub
      1    0.0%    0.0%  Stub: StoreTransitionStub
      1    0.0%    0.0%  Stub: StoreFastElementStub
      1    0.0%    0.0%  Stub: RecordWriteStub {2}
      1    0.0%    0.0%  Stub: MathPowStub
      1    0.0%    0.0%  Stub: LoadIndexedStringStub
      1    0.0%    0.0%  Stub: LoadICStub
      1    0.0%    0.0%  Stub: LoadFieldStub {1}
      1    0.0%    0.0%  Stub: LoadFieldStub
      1    0.0%    0.0%  Stub: LoadConstantStub {2}
      1    0.0%    0.0%  Stub: LoadConstantStub
      1    0.0%    0.0%  Stub: FastNewClosureStub {1}
      1    0.0%    0.0%  Stub: CompareNilICStub(NullValue)(MonomorphicMap)
      1    0.0%    0.0%  Stub: CompareICStub {2}
      1    0.0%    0.0%  Stub: CallFunctionStub_Args2
      1    0.0%    0.0%  Stub: CallFunctionStub {1}
      1    0.0%    0.0%  Stub: CEntryStub {1}
      1    0.0%    0.0%  Stub: BinaryOpWithAllocationSiteStub
      1    0.0%    0.0%  Stub: BinaryOpICStub {3}
      1    0.0%    0.0%  Stub: BinaryOpICStub {2}
      1    0.0%    0.0%  Stub: BinaryOpICStub
      1    0.0%    0.0%  RegExp: ^Transfer-Encoding$
      1    0.0%    0.0%  RegExp: ^Date$
      1    0.0%    0.0%  RegExp: ^Content-Length$
      1    0.0%    0.0%  RegExp: ;\\s*charset\\s*=
      1    0.0%    0.0%  LazyCompile: ~writePackedVarint /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:468:27
      1    0.0%    0.0%  LazyCompile: ~write /home/phillipdaw/code/gpxAQI/server/node_modules/compression/index.js:78:32
      1    0.0%    0.0%  LazyCompile: ~utcDate _http_outgoing.js:32:17
      1    0.0%    0.0%  LazyCompile: ~unrefTimer net.js:175:51
      1    0.0%    0.0%  LazyCompile: ~slice buffer.js:613:40
      1    0.0%    0.0%  LazyCompile: ~removeListener events.js:272:28
      1    0.0%    0.0%  LazyCompile: ~pow native math.js:82:19
      1    0.0%    0.0%  LazyCompile: ~posix.isAbsolute path.js:469:28
      1    0.0%    0.0%  LazyCompile: ~posix.dirname path.js:529:25
      1    0.0%    0.0%  LazyCompile: ~parse native json.js:40:19
      1    0.0%    0.0%  LazyCompile: ~module.exports.processFeatures.filterFeaturesByBounds.clipPolysByBounds /home/phillipdaw/code/gpxAQI/server/lib/polygonFun.js:60:29
      1    0.0%    0.0%  LazyCompile: ~module.exports.processFeatures.filterFeaturesByBounds /home/phillipdaw/code/gpxAQI/server/lib/polygonFun.js:42:26
      1    0.0%    0.0%  LazyCompile: ~module.exports /home/phillipdaw/code/gpxAQI/server/node_modules/geobound-object/index.js:43:30
      1    0.0%    0.0%  LazyCompile: ~join native array.js:333:19
      1    0.0%    0.0%  LazyCompile: ~header /home/phillipdaw/code/gpxAQI/server/node_modules/express/lib/response.js:750:29
      1    0.0%    0.0%  LazyCompile: ~hasOwnProperty native v8natives.js:108:30
      1    0.0%    0.0%  LazyCompile: ~fs.readSync fs.js:585:23
      1    0.0%    0.0%  LazyCompile: ~exports.write /home/phillipdaw/code/gpxAQI/server/node_modules/ieee754/index.js:34:26
      1    0.0%    0.0%  LazyCompile: ~exports._unrefActive timers.js:599:32
      1    0.0%    0.0%  LazyCompile: ~error /home/phillipdaw/code/gpxAQI/server/node_modules/send/index.js:267:45
      1    0.0%    0.0%  LazyCompile: ~emitPendingUnhandledRejections node.js:493:44
      1    0.0%    0.0%  LazyCompile: ~createWriteReq net.js:697:24
      1    0.0%    0.0%  LazyCompile: ~createError /home/phillipdaw/code/gpxAQI/server/node_modules/http-errors/index.js:47:22
