Statistical profiling result from isolate-0x1787d10-v8.log, (12347 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: ~error /home/phillipdaw/code/gpxAQI/server/node_modules/send/index.js:267:45
      1    0.0%    0.0%  LazyCompile: ~encode /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:18:16
      1    0.0%    0.0%  LazyCompile: ~compression /home/phillipdaw/code/gpxAQI/server/node_modules/compression/index.js:59:31
      1    0.0%    0.0%  LazyCompile: ~_flushOutput _http_outgoing.js:634:63
      1    0.0%    0.0%  LazyCompile: ~WriteStream tty.js:54:21
      1    0.0%    0.0%  LazyCompile: ~Uint8ArrayConstructByArrayBuffer native typedarray.js:35:42
      1    0.0%    0.0%  LazyCompile: ~Socket._writeGeneric net.js:622:42
      1    0.0%    0.0%  LazyCompile: ~ServerResponse.writeHead _http_server.js:160:46
      1    0.0%    0.0%  LazyCompile: ~SendStream /home/phillipdaw/code/gpxAQI/server/node_modules/send/index.js:96:21
      1    0.0%    0.0%  LazyCompile: ~Pbf.writeString /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:269:26
      1    0.0%    0.0%  LazyCompile: ~OutgoingMessage._writeRaw _http_outgoing.js:143:47
      1    0.0%    0.0%  LazyCompile: ~OutgoingMessage._storeHeader _http_outgoing.js:188:50
      1    0.0%    0.0%  LazyCompile: ~NonNumberToNumber native runtime.js:553:27
      1    0.0%    0.0%  LazyCompile: ~Module._resolveLookupPaths module.js:210:38
      1    0.0%    0.0%  LazyCompile: ~Module._findPath module.js:128:28
      1    0.0%    0.0%  LazyCompile: ~Module._compile module.js:367:37
      1    0.0%    0.0%  LazyCompile: ~Module module.js:26:16
      1    0.0%    0.0%  LazyCompile: ~InnerArrayJoin native array.js:317:24
      1    0.0%    0.0%  LazyCompile: ~DefineOwnProperty native v8natives.js:630:27
      1    0.0%    0.0%  LazyCompile: ~DefineObjectProperty native v8natives.js:461:30
      1    0.0%    0.0%  LazyCompile: ~Date native date.js:71:25
      1    0.0%    0.0%  LazyCompile: ~<anonymous> native v8natives.js:1199:16
      1    0.0%    0.0%  LazyCompile: ~<anonymous> fs.js:81:18
      1    0.0%    0.0%  LazyCompile: ~<anonymous> /home/phillipdaw/code/gpxAQI/server/node_modules/express/lib/request.js:463:36
      1    0.0%    0.0%  LazyCompile: ADD native runtime.js:170:17
      1    0.0%    0.0%  LazyCompile: *test native regexp.js:132:20
      1    0.0%    0.0%  LazyCompile: *storeHeader _http_outgoing.js:301:21
      1    0.0%    0.0%  LazyCompile: *posix.normalize path.js:449:27
      1    0.0%    0.0%  LazyCompile: *onwrite _stream_writable.js:314:17
      1    0.0%    0.0%  LazyCompile: *normalizeArray path.js:17:24
      1    0.0%    0.0%  LazyCompile: *fresh /home/phillipdaw/code/gpxAQI/server/node_modules/parseurl/index.js:149:16
      1    0.0%    0.0%  LazyCompile: *doWrite _stream_writable.js:284:17
      1    0.0%    0.0%  LazyCompile: *Writable.write _stream_writable.js:186:36
      1    0.0%    0.0%  LazyCompile: *TickObject node.js:471:24
      1    0.0%    0.0%  LazyCompile: *ServerResponse._finish _http_server.js:99:44
      1    0.0%    0.0%  LazyCompile: *Pbf.writeStringField /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:366:31
      1    0.0%    0.0%  LazyCompile: *NativeModule.nonInternalExists node.js:926:46
      1    0.0%    0.0%  LazyCompile: *DoRegExpExec native regexp.js:54:22
      1    0.0%    0.0%  LazyCompile: *DefineObjectProperty native v8natives.js:461:30
      1    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot
      1    0.0%    0.0%  KeyedLoadIC: A keyed load IC from the snapshot {2}
      1    0.0%    0.0%  Handler: writeString
      1    0.0%    0.0%  Handler: unshift
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 134cd847)
      1    0.0%    0.0%  Handler: statusCode
      1    0.0%    0.0%  Handler: push
      1    0.0%    0.0%  Handler: oncomplete
      1    0.0%    0.0%  Handler: next
      1    0.0%    0.0%  Handler: global
      1    0.0%    0.0%  Handler: emit
      1    0.0%    0.0%  Handler: domain
      1    0.0%    0.0%  Handler: cork
      1    0.0%    0.0%  Handler: charCodeAt
      1    0.0%    0.0%  Handler: callback
      1    0.0%    0.0%  Handler: Math
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {9}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {7}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {6}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {5}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {4}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {3}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {2}
      1    0.0%    0.0%  Handler: An IC handler from the snapshot
      1    0.0%    0.0%  Handler: $toString
      1    0.0%    0.0%  Builtin: FunctionCall
      1    0.0%    0.0%  Builtin: ArgumentsAdaptorTrampoline

 [C++]:
   ticks  total  nonlib   name
   1636   13.3%   14.0%  v8::internal::FastDtoa(double, v8::internal::FastDtoaMode, int, v8::internal::Vector<char>, int*, int*)
    686    5.6%    5.9%  v8::internal::BasicJsonStringifier::Result v8::internal::BasicJsonStringifier::Serialize_<false>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
    640    5.2%    5.5%  v8::internal::JsonParser<true>::ParseJsonNumber()
    632    5.1%    5.4%  v8::internal::Strtod(v8::internal::Vector<char const>, int)
    606    4.9%    5.2%  v8::internal::BasicJsonStringifier::SerializeDouble(double)
    537    4.3%    4.6%  double v8::internal::InternalStringToDouble<unsigned char const*, unsigned char const*>(v8::internal::UnicodeCache*, unsigned char const*, unsigned char const*, int, double)
    413    3.3%    3.5%  v8::internal::LookupIterator::Next()
    359    2.9%    3.1%  v8::internal::JsonParser<true>::ParseJsonArray()
    313    2.5%    2.7%  v8::internal::DiyFp::Multiply(v8::internal::DiyFp const&)
