Statistical profiling result from isolate-0x2baed10-v8.log, (589 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.2%    0.3%  v8::internal::UsePosition::UsePosition(v8::internal::LifetimePosition, v8::internal::LOperand*, v8::internal::LOperand*)
      1    0.2%    0.3%  v8::internal::TypeImpl<v8::internal::HeapTypeConfig>::Iterator<v8::internal::Map>::Advance()
      1    0.2%    0.3%  v8::internal::TypeFeedbackOracle::TypeFeedbackOracle(v8::internal::Isolate*, v8::internal::Zone*, v8::internal::Handle<v8::internal::Code>, v8::internal::Handle<v8::internal::TypeFeedbackVector>, v8::internal::Handle<v8::internal::Context>)
      1    0.2%    0.3%  v8::internal::TransitionArray::Capacity(v8::internal::Object*)
      1    0.2%    0.3%  v8::internal::ToBooleanIC::ToBoolean(v8::internal::Handle<v8::internal::Object>)
      1    0.2%    0.3%  v8::internal::String::SlowFlatten(v8::internal::Handle<v8::internal::ConsString>, v8::internal::PretenureFlag)
      1    0.2%    0.3%  v8::internal::String::IsUtf8EqualTo(v8::internal::Vector<char const>, bool)
      1    0.2%    0.3%  v8::internal::StoreDescriptor::NameRegister()
      1    0.2%    0.3%  v8::internal::StoreBuffer::Compact()
      1    0.2%    0.3%  v8::internal::StaticMarkingVisitor<v8::internal::IncrementalMarkingMarkingVisitor>::VisitJSFunctionStrongCode(v8::internal::Heap*, v8::internal::HeapObject*)
      1    0.2%    0.3%  v8::internal::StackFrameIteratorBase::SingletonFor(v8::internal::StackFrame::Type, v8::internal::StackFrame::State*)
      1    0.2%    0.3%  v8::internal::SerializerDeserializer::Iterate(v8::internal::Isolate*, v8::internal::ObjectVisitor*)
      1    0.2%    0.3%  v8::internal::ScopeInfo::Create(v8::internal::Isolate*, v8::internal::Zone*, v8::internal::Scope*)
      1    0.2%    0.3%  v8::internal::Scope::Initialize()
      1    0.2%    0.3%  v8::internal::Scanner::Scan()
      1    0.2%    0.3%  v8::internal::Runtime_StringEquals(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.3%  v8::internal::Runtime_NewClosure(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.3%  v8::internal::Runtime_CreateObjectLiteral(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.3%  v8::internal::Runtime_ArrayConcat(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.3%  v8::internal::RelocInfoWriter::Write(v8::internal::RelocInfo const*)
      1    0.2%    0.3%  v8::internal::RegExpStackScope::RegExpStackScope(v8::internal::Isolate*)
      1    0.2%    0.3%  v8::internal::RegExpImpl::IrregexpExec(v8::internal::Handle<v8::internal::JSRegExp>, v8::internal::Handle<v8::internal::String>, int, v8::internal::Handle<v8::internal::JSArray>)
      1    0.2%    0.3%  v8::internal::RegExpImpl::AtomExec(v8::internal::Handle<v8::internal::JSRegExp>, v8::internal::Handle<v8::internal::String>, int, v8::internal::Handle<v8::internal::JSArray>)
      1    0.2%    0.3%  v8::internal::RegExpBuilder::FlushText()
      1    0.2%    0.3%  v8::internal::PositionsRecorder::WriteRecordedPositions()
      1    0.2%    0.3%  v8::internal::ParserTraits::ExpressionFromString(int, v8::internal::Scanner*, v8::internal::AstNodeFactory*)
